entity_id,titre,type_rapport,date_publication,url
cnil,Rapport annuel 2024,Rapport d'activité,2025-04-01,https://www.cnil.fr/sites/default/files/2025-04/rapport_annuel_2024.pdf
hatvp,Rapport d'activité 2024,Rapport d'activité,2025-01-01,https://www.hatvp.fr/rapports_activite/rapport_2024/
arcom,Rapport annuel 2024,Rapport d'activité,2025-01-01,https://www.arcom.fr/se-documenter/etudes-et-donnees/etudes-bilans-et-rapports-de-larcom/rapport-annuel-2024-de-larcom
amf,Rapport annuel,Rapport d'activité,2025-01-01,https://www.amf-france.org/fr/actualites-publications/rapports-annuels
ademe,Rapport d'activité,Rapport d'activité,2025-01-01,https://www.ademe.fr/lademe/rapport-activite/
insee,Rapport d'activité de l'Insee,Rapport d'activité,2025-01-01,https://www.insee.fr/fr/information/1302192
sante_publique_france,Rapports annuels,Rapport d'activité,2025-01-01,https://www.santepubliquefrance.fr/a-propos/rapports-annuels
ofb,Rapports d'activité,Rapport d'activité,2025-01-01,https://www.ofb.gouv.fr/rapports-dactivite
